Starting new VQE Run at Mon Feb  2 11:35:47 2026
Starting VQE with 3 layers.
Iteration 1/12000: VQE Energy = 122015639.30753426
Iteration 2/12000: VQE Energy = 117852974.7313203
Iteration 3/12000: VQE Energy = 113765873.74825548
Iteration 4/12000: VQE Energy = 109764565.1993243
Iteration 5/12000: VQE Energy = 105855409.90055135
Iteration 6/12000: VQE Energy = 102042243.27167712
Iteration 7/12000: VQE Energy = 98329807.12642808
Iteration 8/12000: VQE Energy = 94723131.63145132
Iteration 9/12000: VQE Energy = 91226150.3423385
Iteration 10/12000: VQE Energy = 87841431.83738112
Iteration 11/12000: VQE Energy = 84570513.32535176
Iteration 12/12000: VQE Energy = 81414200.36902252
Iteration 13/12000: VQE Energy = 78372563.44614023
Iteration 14/12000: VQE Energy = 75444787.17207304
Iteration 15/12000: VQE Energy = 72629066.42230952
Iteration 16/12000: VQE Energy = 69922610.36099638
Iteration 17/12000: VQE Energy = 67321743.09691313
Iteration 18/12000: VQE Energy = 64822076.07286158
Iteration 19/12000: VQE Energy = 62418727.85512727
Iteration 20/12000: VQE Energy = 60106565.19034717
Iteration 21/12000: VQE Energy = 57880436.5586838
Iteration 22/12000: VQE Energy = 55735372.36376011
Iteration 23/12000: VQE Energy = 53666736.321557984
Iteration 24/12000: VQE Energy = 51670325.455816805
Iteration 25/12000: VQE Energy = 49742424.96326516
Iteration 26/12000: VQE Energy = 47879827.21469409
Iteration 27/12000: VQE Energy = 46079823.503564395
Iteration 28/12000: VQE Energy = 44340175.48631506
Iteration 29/12000: VQE Energy = 42659071.83141417
Iteration 30/12000: VQE Energy = 41035074.5800832
Iteration 31/12000: VQE Energy = 39467058.97265402
Iteration 32/12000: VQE Energy = 37954149.90213689
Iteration 33/12000: VQE Energy = 36495657.68341392
Iteration 34/12000: VQE Energy = 35091015.45358305
Iteration 35/12000: VQE Energy = 33739720.217321575
Iteration 36/12000: VQE Energy = 32441279.282001566
Iteration 37/12000: VQE Energy = 31195163.55252021
Iteration 38/12000: VQE Energy = 30000768.84608214
Iteration 39/12000: VQE Energy = 28857386.02625143
Iteration 40/12000: VQE Energy = 27764180.342014745
Iteration 41/12000: VQE Energy = 26720179.905253876
Iteration 42/12000: VQE Energy = 25724272.777234983
Iteration 43/12000: VQE Energy = 24775211.70132831
Iteration 44/12000: VQE Energy = 23871625.160441574
Iteration 45/12000: VQE Energy = 23012033.195422363
Iteration 46/12000: VQE Energy = 22194866.32363884
Iteration 47/12000: VQE Energy = 21418485.952523954
Iteration 48/12000: VQE Energy = 20681204.874378763
Iteration 49/12000: VQE Energy = 19981306.718549766
Iteration 50/12000: VQE Energy = 19317063.575580068
Iteration 51/12000: VQE Energy = 18686751.344737317
Iteration 52/12000: VQE Energy = 18088662.650566142
Iteration 53/12000: VQE Energy = 17521117.40053242
Iteration 54/12000: VQE Energy = 16982471.205858085
Iteration 55/12000: VQE Energy = 16471121.966517687
Iteration 56/12000: VQE Energy = 15985514.942952273
Iteration 57/12000: VQE Energy = 15524146.618703645
Iteration 58/12000: VQE Energy = 15085567.616524298
Iteration 59/12000: VQE Energy = 14668384.879180318
Iteration 60/12000: VQE Energy = 14271263.274757707
Iteration 61/12000: VQE Energy = 13892926.740642857
Iteration 62/12000: VQE Energy = 13532159.043256158
Iteration 63/12000: VQE Energy = 13187804.202720765
Iteration 64/12000: VQE Energy = 12858766.612269472
Iteration 65/12000: VQE Energy = 12544010.869995406
Iteration 66/12000: VQE Energy = 12242561.333980419
Iteration 67/12000: VQE Energy = 11953501.40937979
Iteration 68/12000: VQE Energy = 11675972.576380717
Iteration 69/12000: VQE Energy = 11409173.170018112
Iteration 70/12000: VQE Energy = 11152356.92578271
Iteration 71/12000: VQE Energy = 10904831.30819667
Iteration 72/12000: VQE Energy = 10665955.642620571
Iteration 73/12000: VQE Energy = 10435139.073228452
Iteration 74/12000: VQE Energy = 10211838.372166442
Iteration 75/12000: VQE Energy = 9995555.626319226
Iteration 76/12000: VQE Energy = 9785835.828830851
Iteration 77/12000: VQE Energy = 9582264.402568797
Iteration 78/12000: VQE Energy = 9384464.682153981
Iteration 79/12000: VQE Energy = 9192095.380058687
Iteration 80/12000: VQE Energy = 9004848.060693614
Iteration 81/12000: VQE Energy = 8822444.644447355
Iteration 82/12000: VQE Energy = 8644634.961406283
Iteration 83/12000: VQE Energy = 8471194.372054318
Iteration 84/12000: VQE Energy = 8301921.469731226
Iteration 85/12000: VQE Energy = 8136635.87708316
Iteration 86/12000: VQE Energy = 7975176.146261844
Iteration 87/12000: VQE Energy = 7817397.77027066
Iteration 88/12000: VQE Energy = 7663171.310679061
Iteration 89/12000: VQE Energy = 7512380.644966677
Iteration 90/12000: VQE Energy = 7364921.3350448795
Iteration 91/12000: VQE Energy = 7220699.117046578
Iteration 92/12000: VQE Energy = 7079628.511274583
Iteration 93/12000: VQE Energy = 6941631.550243298
Iteration 94/12000: VQE Energy = 6806636.622011712
Iteration 95/12000: VQE Energy = 6674577.425458754
Iteration 96/12000: VQE Energy = 6545392.033756589
Iteration 97/12000: VQE Energy = 6419022.062015267
Iteration 98/12000: VQE Energy = 6295411.934864613
Iteration 99/12000: VQE Energy = 6174508.249568457
Iteration 100/12000: VQE Energy = 6056259.230107091
Iteration 101/12000: VQE Energy = 5940614.267486997
Iteration 102/12000: VQE Energy = 5827523.541333861
Iteration 103/12000: VQE Energy = 5716937.717584652
Iteration 104/12000: VQE Energy = 5608807.716824791
Iteration 105/12000: VQE Energy = 5503084.54752411
Iteration 106/12000: VQE Energy = 5399719.198129886
Iteration 107/12000: VQE Energy = 5298662.581695652
Iteration 108/12000: VQE Energy = 5199865.526489161
Iteration 109/12000: VQE Energy = 5103278.805849627
Iteration 110/12000: VQE Energy = 5008853.200481365
Iteration 111/12000: VQE Energy = 4916539.586392451
Iteration 112/12000: VQE Energy = 4826289.041828959
Iteration 113/12000: VQE Energy = 4738052.966820623
Iteration 114/12000: VQE Energy = 4651783.209347351
Iteration 115/12000: VQE Energy = 4567432.192644156
Iteration 116/12000: VQE Energy = 4484953.038775888
Iteration 117/12000: VQE Energy = 4404299.684310617
Iteration 118/12000: VQE Energy = 4325426.984676415
Iteration 119/12000: VQE Energy = 4248290.804577566
Iteration 120/12000: VQE Energy = 4172848.0926399063
Iteration 121/12000: VQE Energy = 4099056.93922749
Iteration 122/12000: VQE Energy = 4026876.617095706
Iteration 123/12000: VQE Energy = 3956267.6051990823
Iteration 124/12000: VQE Energy = 3887191.5965347965
Iteration 125/12000: VQE Energy = 3819611.491365978
Iteration 126/12000: VQE Energy = 3753491.3775213985
Iteration 127/12000: VQE Energy = 3688796.4997114437
Iteration 128/12000: VQE Energy = 3625493.219934819
Iteration 129/12000: VQE Energy = 3563548.9710873086
Iteration 130/12000: VQE Energy = 3502932.2058316763
Iteration 131/12000: VQE Energy = 3443612.3426638125
Iteration 132/12000: VQE Energy = 3385559.710927524
Iteration 133/12000: VQE Energy = 3328745.4963093787
Iteration 134/12000: VQE Energy = 3273141.688097355
Iteration 135/12000: VQE Energy = 3218721.0292324172
Iteration 136/12000: VQE Energy = 3165456.9699297394
Iteration 137/12000: VQE Energy = 3113323.6254083193
Iteration 138/12000: VQE Energy = 3062295.7380523947
Iteration 139/12000: VQE Energy = 3012348.6441386025
Iteration 140/12000: VQE Energy = 2963458.245103395
Iteration 141/12000: VQE Energy = 2915600.9831954967
Iteration 142/12000: VQE Energy = 2868753.82125586
Iteration 143/12000: VQE Energy = 2822894.226291301
Iteration 144/12000: VQE Energy = 2778000.156453074
Iteration 145/12000: VQE Energy = 2734050.0509951212
Iteration 146/12000: VQE Energy = 2691022.8227643585
Iteration 147/12000: VQE Energy = 2648897.852765649
Iteration 148/12000: VQE Energy = 2607654.9863423123
Iteration 149/12000: VQE Energy = 2567274.5305205863
Iteration 150/12000: VQE Energy = 2527737.252079723
Iteration 151/12000: VQE Energy = 2489024.375930278
Iteration 152/12000: VQE Energy = 2451117.5834097876
Iteration 153/12000: VQE Energy = 2413999.0101395696
Iteration 154/12000: VQE Energy = 2377651.2431267505
Iteration 155/12000: VQE Energy = 2342057.3168430794
Iteration 156/12000: VQE Energy = 2307200.708065597
Iteration 157/12000: VQE Energy = 2273065.3293219074
Iteration 158/12000: VQE Energy = 2239635.520844012
Iteration 159/12000: VQE Energy = 2206896.040996729
Iteration 160/12000: VQE Energy = 2174832.0552076297
Iteration 161/12000: VQE Energy = 2143429.123482626
Iteration 162/12000: VQE Energy = 2112673.1866428503
Iteration 163/12000: VQE Energy = 2082550.5514621101
Iteration 164/12000: VQE Energy = 2053047.8749182888
Iteration 165/12000: VQE Energy = 2024152.1477961813
Iteration 166/12000: VQE Energy = 1995850.6778919334
Iteration 167/12000: VQE Energy = 1968131.073071923
Iteration 168/12000: VQE Energy = 1940981.2244310793
Iteration 169/12000: VQE Energy = 1914389.2897798177
Iteration 170/12000: VQE Energy = 1888343.6776650557
Iteration 171/12000: VQE Energy = 1862833.0321026149
Iteration 172/12000: VQE Energy = 1837846.2181663534
Iteration 173/12000: VQE Energy = 1813372.308546258
Iteration 174/12000: VQE Energy = 1789400.5711546033
Iteration 175/12000: VQE Energy = 1765920.4578287182
Iteration 176/12000: VQE Energy = 1742921.5941504047
Iteration 177/12000: VQE Energy = 1720393.7703780346
Iteration 178/12000: VQE Energy = 1698326.9334675753
Iteration 179/12000: VQE Energy = 1676711.1801430217
Iteration 180/12000: VQE Energy = 1655536.7509658146
Iteration 181/12000: VQE Energy = 1634794.025345383
Iteration 182/12000: VQE Energy = 1614473.5174289383
Iteration 183/12000: VQE Energy = 1594565.8728075663
Iteration 184/12000: VQE Energy = 1575061.8659762577
Iteration 185/12000: VQE Energy = 1555952.398487589
Iteration 186/12000: VQE Energy = 1537228.497741645
Iteration 187/12000: VQE Energy = 1518881.3163577933
Iteration 188/12000: VQE Energy = 1500902.1320766956
Iteration 189/12000: VQE Energy = 1483282.3481436134
Iteration 190/12000: VQE Energy = 1466013.4941257462
Iteration 191/12000: VQE Energy = 1449087.2271177066
Iteration 192/12000: VQE Energy = 1432495.333289952
Iteration 193/12000: VQE Energy = 1416229.7297351856
Iteration 194/12000: VQE Energy = 1400282.466567364
Iteration 195/12000: VQE Energy = 1384645.7292279608
Iteration 196/12000: VQE Energy = 1369311.8409532136
Iteration 197/12000: VQE Energy = 1354273.2653560017
Iteration 198/12000: VQE Energy = 1339522.6090757162
Iteration 199/12000: VQE Energy = 1325052.6244492407
Iteration 200/12000: VQE Energy = 1310856.2121569915
Iteration 201/12000: VQE Energy = 1296926.4237981767
Iteration 202/12000: VQE Energy = 1283256.4643508613
Iteration 203/12000: VQE Energy = 1269839.6944736538
Iteration 204/12000: VQE Energy = 1256669.632607961
Iteration 205/12000: VQE Energy = 1243739.9568417354
Iteration 206/12000: VQE Energy = 1231044.5064985212
Iteration 207/12000: VQE Energy = 1218577.2834185786
Iteration 208/12000: VQE Energy = 1206332.4529021885
Iteration 209/12000: VQE Energy = 1194304.3442894118
Iteration 210/12000: VQE Energy = 1182487.451154278
Iteration 211/12000: VQE Energy = 1170876.4310964106
Iteration 212/12000: VQE Energy = 1159466.1051176582
Iteration 213/12000: VQE Energy = 1148251.4565766267
Iteration 214/12000: VQE Energy = 1137227.6297191044
Iteration 215/12000: VQE Energy = 1126389.9277882406
Iteration 216/12000: VQE Energy = 1115733.8107233515
Iteration 217/12000: VQE Energy = 1105254.8924620366
Iteration 218/12000: VQE Energy = 1094948.9378652729
Iteration 219/12000: VQE Energy = 1084811.859290124
Iteration 220/12000: VQE Energy = 1074839.7128391112
Iteration 221/12000: VQE Energy = 1065028.69431948
Iteration 222/12000: VQE Energy = 1055375.134948447
Iteration 223/12000: VQE Energy = 1045875.4968435782
Iteration 224/12000: VQE Energy = 1036526.3683390684
Iteration 225/12000: VQE Energy = 1027324.4591697581
Iteration 226/12000: VQE Energy = 1018266.5955650329
Iteration 227/12000: VQE Energy = 1009349.7152943743
Iteration 228/12000: VQE Energy = 1000570.8627048265
Iteration 229/12000: VQE Energy = 991927.1837890515
Iteration 230/12000: VQE Energy = 983415.9213199628
Iteration 231/12000: VQE Energy = 975034.4100850081
Iteration 232/12000: VQE Energy = 966780.0722498451
Iteration 233/12000: VQE Energy = 958650.4128774321
Iteration 234/12000: VQE Energy = 950643.0156247338
Iteration 235/12000: VQE Energy = 942755.5386353346
Iteration 236/12000: VQE Energy = 934985.7106422901
Iteration 237/12000: VQE Energy = 927331.3272916937
Iteration 238/12000: VQE Energy = 919790.2476938609
Iteration 239/12000: VQE Energy = 912360.3912053937
Iteration 240/12000: VQE Energy = 905039.7344423729
Iteration 241/12000: VQE Energy = 897826.3085217789
Iteration 242/12000: VQE Energy = 890718.1965258289
Iteration 243/12000: VQE Energy = 883713.5311814771
Iteration 244/12000: VQE Energy = 876810.4927453162
Iteration 245/12000: VQE Energy = 870007.3070825583
Iteration 246/12000: VQE Energy = 863302.2439272513
Iteration 247/12000: VQE Energy = 856693.6153098358
Iteration 248/12000: VQE Energy = 850179.7741374483
Iteration 249/12000: VQE Energy = 843759.112911615
Iteration 250/12000: VQE Energy = 837430.0625679046
Iteration 251/12000: VQE Energy = 831191.0914219688
Iteration 252/12000: VQE Energy = 825040.7042066626
Iteration 253/12000: VQE Energy = 818977.4411853203
Iteration 254/12000: VQE Energy = 812999.8773269337
Iteration 255/12000: VQE Energy = 807106.6215299057
Iteration 256/12000: VQE Energy = 801296.3158819558
Iteration 257/12000: VQE Energy = 795567.6349450927
Iteration 258/12000: VQE Energy = 789919.2850557847
Iteration 259/12000: VQE Energy = 784350.0036319835
Iteration 260/12000: VQE Energy = 778858.5584800666
Iteration 261/12000: VQE Energy = 773443.7470963838
Iteration 262/12000: VQE Energy = 768104.3959594892
Iteration 263/12000: VQE Energy = 762839.3598107176
Iteration 264/12000: VQE Energy = 757647.5209220003
Iteration 265/12000: VQE Energy = 752527.7883511294
Iteration 266/12000: VQE Energy = 747479.0971857468
Iteration 267/12000: VQE Energy = 742500.4077781244
Iteration 268/12000: VQE Energy = 737590.704973596
Iteration 269/12000: VQE Energy = 732748.9973359394
Iteration 270/12000: VQE Energy = 727974.3163731998
Iteration 271/12000: VQE Energy = 723265.7157676638
Iteration 272/12000: VQE Energy = 718622.2706134612
Iteration 273/12000: VQE Energy = 714043.0766650438
Iteration 274/12000: VQE Energy = 709527.2495995254
Iteration 275/12000: VQE Energy = 705073.9242952386
Iteration 276/12000: VQE Energy = 700682.2541284605
Iteration 277/12000: VQE Energy = 696351.4102897047
Iteration 278/12000: VQE Energy = 692080.5811204446
Iteration 279/12000: VQE Energy = 687868.9714706879
Iteration 280/12000: VQE Energy = 683715.8020773012
Iteration 281/12000: VQE Energy = 679620.3089628194
Iteration 282/12000: VQE Energy = 675581.7428540497
Iteration 283/12000: VQE Energy = 671599.3686196676
Iteration 284/12000: VQE Energy = 667672.4647260093
Iteration 285/12000: VQE Energy = 663800.3227100493
Iteration 286/12000: VQE Energy = 659982.246668883
Iteration 287/12000: VQE Energy = 656217.5527648655
Iteration 288/12000: VQE Energy = 652505.5687459131
Iteration 289/12000: VQE Energy = 648845.6334805152
Iteration 290/12000: VQE Energy = 645237.0965071957
Iteration 291/12000: VQE Energy = 641679.317598348
Iteration 292/12000: VQE Energy = 638171.6663384002
Iteration 293/12000: VQE Energy = 634713.5217165108
Iteration 294/12000: VQE Energy = 631304.2717338682
Iteration 295/12000: VQE Energy = 627943.3130258686
Iteration 296/12000: VQE Energy = 624630.0504993284
Iteration 297/12000: VQE Energy = 621363.8969848428
Iteration 298/12000: VQE Energy = 618144.272904381
Iteration 299/12000: VQE Energy = 614970.6059541045
Iteration 300/12000: VQE Energy = 611842.3308021929
Iteration 301/12000: VQE Energy = 608758.8888015676
Iteration 302/12000: VQE Energy = 605719.7277170497
Iteration 303/12000: VQE Energy = 602724.301466668
Iteration 304/12000: VQE Energy = 599772.0698764492
Iteration 305/12000: VQE Energy = 596862.4984483718
Iteration 306/12000: VQE Energy = 593995.0581406966
Iteration 307/12000: VQE Energy = 591169.225160294
Iteration 308/12000: VQE Energy = 588384.4807662887
Iteration 309/12000: VQE Energy = 585640.3110846165
Iteration 310/12000: VQE Energy = 582936.2069329078
Iteration 311/12000: VQE Energy = 580271.6636553757
Iteration 312/12000: VQE Energy = 577646.180967303
Iteration 313/12000: VQE Energy = 575059.2628088555
Iteration 314/12000: VQE Energy = 572510.4172078761
Iteration 315/12000: VQE Energy = 569999.1561515529
Iteration 316/12000: VQE Energy = 567524.9954666225
Iteration 317/12000: VQE Energy = 565087.4547080405
Iteration 318/12000: VQE Energy = 562686.0570558192
Iteration 319/12000: VQE Energy = 560320.3292198782
Iteration 320/12000: VQE Energy = 557989.8013526796
Iteration 321/12000: VQE Energy = 555694.0069693894
Iteration 322/12000: VQE Energy = 553432.4828752675
Iteration 323/12000: VQE Energy = 551204.7691000124
Iteration 324/12000: VQE Energy = 549010.4088387165
Iteration 325/12000: VQE Energy = 546848.9483990853
Iteration 326/12000: VQE Energy = 544719.9371545513
Iteration 327/12000: VQE Energy = 542622.927502968
Iteration 328/12000: VQE Energy = 540557.4748304803
